task,seed,subset,metric,value,n_test
CHEMBL231_Ki,117,overall,rmse,0.7888729309823342,197
CHEMBL231_Ki,117,overall,mae,0.5657032086999696,197
CHEMBL231_Ki,117,overall,r2,0.6378269848283089,197
CHEMBL231_Ki,117,overall,spearman,0.804648578397672,197
CHEMBL231_Ki,117,overall,pearson,0.8073367159815241,197
CHEMBL231_Ki,117,cliff,rmse,0.886133313729232,48
CHEMBL231_Ki,117,noncliff,rmse,0.754876721158863,149
CHEMBL231_Ki,709,overall,rmse,0.76889023021498,197
CHEMBL231_Ki,709,overall,mae,0.5632989361741227,197
CHEMBL231_Ki,709,overall,r2,0.6559427880528458,197
CHEMBL231_Ki,709,overall,spearman,0.8092412784218441,197
CHEMBL231_Ki,709,overall,pearson,0.8137179783499346,197
CHEMBL231_Ki,709,cliff,rmse,0.8645882776262087,48
CHEMBL231_Ki,709,noncliff,rmse,0.735414059304718,149
CHEMBL233_Ki,42,overall,rmse,0.8270124558620734,630
CHEMBL233_Ki,42,overall,mae,0.6311073573244794,630
CHEMBL233_Ki,42,overall,r2,0.5982403579820422,630
CHEMBL233_Ki,42,overall,spearman,0.7806879260034849,630
CHEMBL233_Ki,42,overall,pearson,0.7743777063367598,630
CHEMBL233_Ki,42,cliff,rmse,0.8635145058318607,259
CHEMBL233_Ki,42,noncliff,rmse,0.8005439663324219,371
CHEMBL233_Ki,117,overall,rmse,0.8499367209645161,630
CHEMBL233_Ki,117,overall,mae,0.640248004572022,630
CHEMBL233_Ki,117,overall,r2,0.5756586113692359,630
CHEMBL233_Ki,117,overall,spearman,0.7748151112931575,630
CHEMBL233_Ki,117,overall,pearson,0.7648043384396023,630
CHEMBL233_Ki,117,cliff,rmse,0.8951942083884517,259
CHEMBL233_Ki,117,noncliff,rmse,0.8168569521066117,371
CHEMBL233_Ki,709,overall,rmse,0.8444551224381013,630
CHEMBL233_Ki,709,overall,mae,0.6433756766309218,630
CHEMBL233_Ki,709,overall,r2,0.5811144722010664,630
CHEMBL233_Ki,709,overall,spearman,0.7722648163218687,630
CHEMBL233_Ki,709,overall,pearson,0.7645654935497488,630
CHEMBL233_Ki,709,cliff,rmse,0.8843475291314737,259
CHEMBL233_Ki,709,noncliff,rmse,0.8154497590886548,371
CHEMBL234_Ki,42,overall,rmse,0.7037241497010491,733
