mode,klass,pair_id,smiles_a,smiles_b,note
ez_flip,A,ez_flip_054,CN1CCC[C@@H]1C/N=C(\S)N1Cc2ccccc2C[C@H]1CNC(=O)NC(C)(C)C,CN1CCC[C@@H]1C/N=C(/S)N1Cc2ccccc2C[C@H]1CNC(=O)NC(C)(C)C,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_055,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(/C=C/c3ccco3)=NO2)cc1,NS(=O)(=O)c1ccccc1-c1ccc(NC(=O)C2CC(/C=C\c3ccco3)=NO2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_056,CC(C)(Oc1ccc(CCOc2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1)C(=O)O,CC(C)(Oc1ccc(CCOc2ccc(/N=N\c3ccc([N+](=O)[O-])cc3)cc2)cc1)C(=O)O,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_057,COc1ccc(/C=C2\NC(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C2=O)cc1OC1CCCC1,COc1ccc(/C=C2/NC(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C2=O)cc1OC1CCCC1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_058,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,C/C=C(\CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_059,CC/C=C\CC/C=C/CO,CC/C=C/CC/C=C/CO,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_060,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C\C(=O)OC(C)(C)C,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_061,COc1ccc(-c2nsc(C)c2C(=O)/N=C(/N)NCc2cc(Cl)c(N)c(Cl)c2)cc1,COc1ccc(-c2nsc(C)c2C(=O)/N=C(\N)NCc2cc(Cl)c(N)c(Cl)c2)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_062,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1,flipped double-bond geometry E<->Z
ez_flip,A,ez_flip_063,COC(=O)[C@H]1[C@@H](c2ccc(C(C)C)cc2)C[C@@H]2CC[C@H]1N2C/C=C/I,COC(=O)[C@H]1[C@@H](c2ccc(C(C)C)cc2)C[C@@H]2CC[C@H]1N2C/C=C\I,flipped double-bond geometry E<->Z
