embedding,mode,klass,pair_id,cosine,tanimoto,identical,bg_median,separation
Morgan r3-counts,add_methyl,A,add_methyl_739,0.08141040802001953,0.3333333134651184,False,0.44886189699172974,0.18137072026729584
Morgan r3-counts,add_methyl,A,add_methyl_740,0.04986929893493652,0.24000000953674316,False,0.3924315869808197,0.12707768380641937
Morgan r3-counts,add_methyl,A,add_methyl_741,0.07391190528869629,0.3303571343421936,False,0.4729536771774292,0.15627725422382355
Morgan r3-counts,add_methyl,A,add_methyl_742,0.04952967166900635,0.24161076545715332,False,0.5863298177719116,0.08447407931089401
Morgan r3-counts,add_methyl,A,add_methyl_743,0.0660257339477539,0.31481480598449707,False,0.3623421788215637,0.18221928179264069
Morgan r3-counts,add_methyl,A,add_methyl_744,0.048218488693237305,0.2222222089767456,False,0.43876832723617554,0.10989509522914886
Morgan r3-counts,add_methyl,A,add_methyl_745,0.03190970420837402,0.1912568211555481,False,0.4197221100330353,0.07602579146623611
Morgan r3-counts,add_methyl,A,add_methyl_746,0.057926177978515625,0.2682926654815674,False,0.4003937244415283,0.14467303454875946
Morgan r3-counts,add_methyl,A,add_methyl_747,0.10634583234786987,0.42307692766189575,False,0.4243796765804291,0.2505912482738495
Morgan r3-counts,add_methyl,A,add_methyl_748,0.0645800232887268,0.2799999713897705,False,0.4229915142059326,0.15267451107501984
Morgan r3-counts,add_methyl,A,add_methyl_749,0.03289669752120972,0.227544903755188,False,0.3560258448123932,0.09239974617958069
Morgan r3-counts,add_methyl,A,add_methyl_750,0.16051065921783447,0.4285714030265808,False,0.5310437083244324,0.3022550940513611
Morgan r3-counts,add_methyl,A,add_methyl_751,0.15742194652557373,0.4492753744125366,False,0.5585484504699707,0.2818411588668823
Morgan r3-counts,add_methyl,A,add_methyl_752,0.06174689531326294,0.2753623127937317,False,0.3956509828567505,0.15606404840946198
Morgan r3-counts,add_methyl,A,add_methyl_753,0.08959025144577026,0.3469387888908386,False,0.4127535820007324,0.2170550525188446
Morgan r3-counts,add_methyl,A,add_methyl_754,0.08261668682098389,0.33673471212387085,False,0.39151039719581604,0.21102041006088257
Morgan r3-counts,add_methyl,A,add_methyl_755,0.07515847682952881,0.317241370677948,False,0.5127369165420532,0.1465829312801361
Morgan r3-counts,add_methyl,A,add_methyl_756,0.08502018451690674,0.3925233483314514,False,0.6133282780647278,0.1386210024356842
Morgan r3-counts,add_methyl,A,add_methyl_757,0.1405200958251953,0.4337349534034729,False,0.44832271337509155,0.3134351372718811
Morgan r3-counts,add_methyl,A,add_methyl_758,0.1115875244140625,0.32999998331069946,False,0.4503309428691864,0.24779003858566284
Morgan r3-counts,add_methyl,A,add_methyl_759,0.05708789825439453,0.25,False,0.363521546125412,0.15704131126403809
Morgan r3-counts,add_methyl,A,add_methyl_760,0.08045828342437744,0.2857142686843872,False,0.45065754652023315,0.1785353124141693
Morgan r3-counts,add_methyl,A,add_methyl_761,0.08388268947601318,0.29197078943252563,False,0.3790838420391083,0.2212774008512497
Morgan r3-counts,add_methyl,A,add_methyl_762,0.13603448867797852,0.3877550959587097,False,0.5357152819633484,0.25393056869506836
Morgan r3-counts,add_methyl,A,add_methyl_763,0.0958014726638794,0.48888885974884033,False,0.6592808961868286,0.14531207084655762
Morgan r3-counts,add_methyl,A,add_methyl_764,0.08239185810089111,0.33628320693969727,False,0.44580432772636414,0.18481619656085968
Morgan r3-counts,add_methyl,A,add_methyl_765,0.1052478551864624,0.3564356565475464,False,0.45854419469833374,0.229526087641716
Morgan r3-counts,add_methyl,A,add_methyl_766,0.045065343379974365,0.1878787875175476,False,0.48378172516822815,0.09315222501754761
Morgan r3-counts,add_methyl,A,add_methyl_767,0.055403828620910645,0.238095223903656,False,0.3892531096935272,0.14233368635177612
Morgan r3-counts,add_methyl,A,add_methyl_768,0.07712960243225098,0.2950819730758667,False,0.44108879566192627,0.1748618483543396
Morgan r3-counts,add_methyl,A,add_methyl_769,0.06640827655792236,0.25,False,0.4575636684894562,0.14513450860977173
Morgan r3-counts,add_methyl,A,add_methyl_770,0.12431150674819946,0.442307710647583,False,0.43950918316841125,0.28284165263175964
Morgan r3-counts,add_methyl,A,add_methyl_771,0.13733786344528198,0.4395604133605957,False,0.6229902505874634,0.22044946253299713
