input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
canonical,A,add_fluorine,ECFP4+stereo,ECFP,0.7727,0.6671,0.891,0.7542,0.7919,1000,0.9015
canonical,A,add_methyl,ECFP4+stereo,ECFP,0.7621,0.6561,0.8903,0.7422,0.7771,1000,0.9015
canonical,A,c_to_n,ECFP4+stereo,ECFP,0.7653,0.645,0.8859,0.7472,0.7858,1000,0.9015
canonical,A,ez_flip,ECFP4+stereo,ECFP,0.9592,0.8696,1.0467,0.9376,0.9748,1000,0.9015
canonical,A,isotope_13c,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
canonical,B,kekule,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
canonical,A,matched_descriptors,ECFP4+stereo,ECFP,1.3285,1.104,1.5049,1.2891,1.3555,1000,0.9015
canonical,A,matched_mw,ECFP4+stereo,ECFP,1.0,0.8622,1.1504,0.9751,1.0251,1000,0.9015
canonical,A,regioisomer,ECFP4+stereo,ECFP,0.8473,0.7461,0.9476,0.8263,0.8646,1000,0.9015
canonical,A,ring_size,ECFP4+stereo,ECFP,0.1078,0.1078,0.1078,0.1057,0.1095,1000,0.9015
canonical,B,smiles_enumeration,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
canonical,A,stereo_flip,ECFP4+stereo,ECFP,0.7106,0.4651,0.8482,0.684,0.7341,1000,0.9015
canonical,B,symmetry_equivalent,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
as_written,A,add_fluorine,ECFP4+stereo,ECFP,0.7727,0.6671,0.891,0.7537,0.7916,1000,0.9015
as_written,A,add_methyl,ECFP4+stereo,ECFP,0.7621,0.6561,0.8903,0.7429,0.7757,1000,0.9015
as_written,A,c_to_n,ECFP4+stereo,ECFP,0.7653,0.645,0.8859,0.747,0.7851,1000,0.9015
as_written,A,ez_flip,ECFP4+stereo,ECFP,0.9592,0.8696,1.0467,0.9371,0.9759,1000,0.9015
as_written,A,isotope_13c,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
as_written,B,kekule,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
as_written,A,matched_descriptors,ECFP4+stereo,ECFP,1.3285,1.104,1.5049,1.2896,1.3547,1000,0.9015
as_written,A,matched_mw,ECFP4+stereo,ECFP,1.0,0.8622,1.1504,0.9756,1.0276,1000,0.9015
as_written,A,regioisomer,ECFP4+stereo,ECFP,0.8473,0.7461,0.9476,0.8259,0.8625,1000,0.9015
as_written,A,ring_size,ECFP4+stereo,ECFP,0.1078,0.1078,0.1078,0.1056,0.1095,1000,0.9015
as_written,B,smiles_enumeration,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
as_written,A,stereo_flip,ECFP4+stereo,ECFP,0.7106,0.4651,0.8482,0.6844,0.732,1000,0.9015
as_written,B,symmetry_equivalent,ECFP4+stereo,ECFP,0.0,0.0,0.0,0.0,0.0,1000,0.9015
canonical,A,add_fluorine,Morgan r3-cnt+desc,r3fp+d,0.8289,0.7541,0.9121,0.8104,0.8439,1000,0.8369
canonical,A,add_methyl,Morgan r3-cnt+desc,r3fp+d,0.8294,0.7492,0.9012,0.8142,0.8466,1000,0.8369
canonical,A,c_to_n,Morgan r3-cnt+desc,r3fp+d,0.8274,0.7523,0.9134,0.809,0.8445,1000,0.8369
canonical,A,ez_flip,Morgan r3-cnt+desc,r3fp+d,0.8741,0.8104,0.9347,0.8576,0.8886,1000,0.8369
canonical,A,isotope_13c,Morgan r3-cnt+desc,r3fp+d,0.0064,0.0044,0.0141,0.0062,0.0068,1000,0.8369
canonical,B,kekule,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
canonical,A,matched_descriptors,Morgan r3-cnt+desc,r3fp+d,1.3455,1.163,1.4966,1.3158,1.3757,1000,0.8369
canonical,A,matched_mw,Morgan r3-cnt+desc,r3fp+d,1.0,0.8715,1.1564,0.9766,1.0232,1000,0.8369
canonical,A,regioisomer,Morgan r3-cnt+desc,r3fp+d,0.8076,0.7488,0.8732,0.791,0.8212,1000,0.8369
canonical,A,ring_size,Morgan r3-cnt+desc,r3fp+d,0.3486,0.2747,0.3523,0.3419,0.354,1000,0.8369
canonical,B,smiles_enumeration,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
canonical,A,stereo_flip,Morgan r3-cnt+desc,r3fp+d,0.7478,0.5861,0.8324,0.73,0.7627,1000,0.8369
canonical,B,symmetry_equivalent,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
as_written,A,add_fluorine,Morgan r3-cnt+desc,r3fp+d,0.8289,0.7541,0.9121,0.8113,0.8437,1000,0.8369
as_written,A,add_methyl,Morgan r3-cnt+desc,r3fp+d,0.8294,0.7492,0.9012,0.8132,0.846,1000,0.8369
as_written,A,c_to_n,Morgan r3-cnt+desc,r3fp+d,0.8275,0.7523,0.9134,0.8088,0.8447,1000,0.8369
as_written,A,ez_flip,Morgan r3-cnt+desc,r3fp+d,0.8741,0.8104,0.9347,0.8561,0.8893,1000,0.8369
as_written,A,isotope_13c,Morgan r3-cnt+desc,r3fp+d,0.0065,0.0044,0.0141,0.0062,0.0068,1000,0.8369
as_written,B,kekule,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
as_written,A,matched_descriptors,Morgan r3-cnt+desc,r3fp+d,1.3455,1.163,1.4966,1.3169,1.3738,1000,0.8369
as_written,A,matched_mw,Morgan r3-cnt+desc,r3fp+d,1.0,0.8715,1.1564,0.9774,1.0242,1000,0.8369
as_written,A,regioisomer,Morgan r3-cnt+desc,r3fp+d,0.8076,0.7488,0.8732,0.7916,0.822,1000,0.8369
as_written,A,ring_size,Morgan r3-cnt+desc,r3fp+d,0.3486,0.2747,0.3524,0.3424,0.354,1000,0.8369
as_written,B,smiles_enumeration,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
as_written,A,stereo_flip,Morgan r3-cnt+desc,r3fp+d,0.7478,0.5861,0.8324,0.7296,0.7624,1000,0.8369
as_written,B,symmetry_equivalent,Morgan r3-cnt+desc,r3fp+d,0.0,0.0,0.0,0.0,0.0,1000,0.8369
canonical,A,add_fluorine,Morgan r3-counts,r3fp,0.9036,0.8236,0.9951,0.8836,0.9177,1000,0.7986
canonical,A,add_methyl,Morgan r3-counts,r3fp,0.9107,0.8226,0.9902,0.892,0.9276,1000,0.7986
