arm,run_id,seed,wave,dataset,task_type,metric,cv_value,n_folds
no_pretrain (frozen),random_baseline_02,2,climb_v2_expA/_baselines,Lipophilicity,regression,rmse,0.9756572723388672,5
no_pretrain (frozen),random_baseline_02,2,climb_v2_expA/_baselines,QM7,regression,rmse,205.3688171386719,5
no_pretrain (frozen),random_baseline_02,2,climb_v2_expA/_baselines,Tox21,classification,roc_auc,0.7697410736865853,5
no_pretrain (e2e),e2e_random_00,0,climb_v2_phase2,BACE,classification,roc_auc,0.7724154128897811,5
no_pretrain (e2e),e2e_random_00,0,climb_v2_phase2,BBBP,classification,roc_auc,0.9320872971390772,5
no_pretrain (e2e),e2e_random_00,0,climb_v2_phase2,HIV,classification,roc_auc,0.7490727904578124,5
no_pretrain (e2e),e2e_random_00,0,climb_v2_phase2,HIV,classification,nef1,0.5879518072289157,5
no_pretrain (e2e),e2e_random_00,0,climb_v2_phase2,Tox21,classification,roc_auc,0.7538272316469019,5
no_pretrain (e2e),e2e_random_01,1,climb_v2_phase2,BACE,classification,roc_auc,0.7950330897053756,5
no_pretrain (e2e),e2e_random_01,1,climb_v2_phase2,BBBP,classification,roc_auc,0.9313831769175225,5
no_pretrain (e2e),e2e_random_01,1,climb_v2_phase2,HIV,classification,roc_auc,0.7654952975971002,5
no_pretrain (e2e),e2e_random_01,1,climb_v2_phase2,HIV,classification,nef1,0.5975903614457831,5
no_pretrain (e2e),e2e_random_01,1,climb_v2_phase2,Tox21,classification,roc_auc,0.7565920469428982,5
no_pretrain (e2e),e2e_random_02,2,climb_v2_phase2,BACE,classification,roc_auc,0.766943206835563,5
no_pretrain (e2e),e2e_random_02,2,climb_v2_phase2,BBBP,classification,roc_auc,0.9330390230028618,5
no_pretrain (e2e),e2e_random_02,2,climb_v2_phase2,HIV,classification,roc_auc,0.7673236814987436,5
no_pretrain (e2e),e2e_random_02,2,climb_v2_phase2,HIV,classification,nef1,0.5855421686746988,5
no_pretrain (e2e),e2e_random_02,2,climb_v2_phase2,Tox21,classification,roc_auc,0.7503251518676881,5
