scheme,family,task,metric,arm,point,is_leader,leader,ci_lo,ci_hi,vl_delta,vl_ci_lo,vl_ci_hi,vl_boot_p,bf_boot_p,bf_ci_lo,be_boot_p,be_ci_lo,vl_boot_q,bf_boot_q,be_boot_q,cobest,beats_frozen,beats_e2e
holdout,full,QM7,rmse,unsup2sup:mixed,205.58707512749564,False,fp_desc,190.48005153794838,212.6616224241677,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,ecfp4,0.6604843112695508,False,unsup_only,0.5859648203551227,0.7290222172939472,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,fp_desc,0.7299996788386807,False,unsup_only,0.6632017097946302,0.7978480648946193,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,chemeleon_e2e,,False,unsup_only,,,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,no_pretrain,0.7241438374495508,False,unsup_only,0.6568761975764628,0.7933590158919567,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,no_pretrain_e2e,0.7053612529573606,False,unsup_only,0.6399423812399356,0.7757232640168515,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup_only,0.7376112021068182,True,unsup_only,0.6776917428038118,0.8130757429060158,,,,,,,,,,,,True,False,False
holdout,full,BBBP,roc_auc,sup_only:dense,0.6653713160120329,False,unsup_only,0.5936645729375184,0.7439863629533159,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup2sup:dense,0.6769652396398711,False,unsup_only,0.6052645090586409,0.7574842199892666,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,sup_only:sparse_all,0.6816541949020993,False,unsup_only,0.6429771237924292,0.7821598868763286,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup2sup:sparse_all,0.6706918885356115,False,unsup_only,0.553762739241842,0.7033675603490297,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,sup_only:dense_plus_sparse,0.7211784479343973,False,unsup_only,0.6497744299723476,0.7844786858439817,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup2sup:dense_plus_sparse,0.5930886084080034,False,unsup_only,0.5431395359706056,0.6962210736632152,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,sup_only:minimol_full,0.6910535161811779,False,unsup_only,0.6511055104170451,0.7917974194835897,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup2sup:minimol_full,0.6977229662459453,False,unsup_only,0.6156035689318434,0.7639256428419735,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,sup_only:mixed,0.7115971352410315,False,unsup_only,0.6542797108884597,0.7898706119675377,,,,,,,,,,,,False,False,False
holdout,full,BBBP,roc_auc,unsup2sup:mixed,0.6737750372011861,False,unsup_only,0.6058922897703667,0.7545901104211208,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,ecfp4,0.8560990338164252,True,ecfp4,0.7960454190618126,0.9182259155735262,,,,,,,,,,,,True,False,False
holdout,full,BACE,roc_auc,fp_desc,0.7687499999999999,False,ecfp4,0.6950996750697955,0.8515467944587629,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,chemeleon_e2e,,False,ecfp4,,,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,no_pretrain,0.6869363929146538,False,ecfp4,0.585024968436128,0.7692438023898698,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,no_pretrain_e2e,0.7218699677938808,False,ecfp4,0.6218798076923077,0.8100684414390756,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup_only,0.8013285024154588,False,ecfp4,0.7545647664646253,0.8906928246484698,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,sup_only:dense,0.8058373590982287,False,ecfp4,0.7481204058076666,0.882482719229519,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup2sup:dense,0.7950483091787439,False,ecfp4,0.725673731072202,0.8705690019683604,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,sup_only:sparse_all,0.7380233494363929,False,ecfp4,0.6180242699169111,0.7944129869766211,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup2sup:sparse_all,0.6544484702093398,False,ecfp4,0.5492211449676824,0.7320697463768117,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,sup_only:dense_plus_sparse,0.7816022544283414,False,ecfp4,0.701382883044933,0.8491744823569578,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup2sup:dense_plus_sparse,0.7445048309178744,False,ecfp4,0.7365719593858885,0.8734101892436785,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,sup_only:minimol_full,0.7762681159420289,False,ecfp4,0.7235452722047124,0.8699850601470158,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup2sup:minimol_full,0.7081924315619967,False,ecfp4,0.5629652477641752,0.7390606226998132,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,sup_only:mixed,0.7876207729468598,False,ecfp4,0.7033183647853185,0.8545708253189396,,,,,,,,,,,,False,False,False
holdout,full,BACE,roc_auc,unsup2sup:mixed,0.7585950080515298,False,ecfp4,0.65261425346724,0.816569164654491,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,ecfp4,0.7105521588384791,False,sup_only:dense_plus_sparse,0.6804698897597171,0.7450784946994341,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,fp_desc,0.7641221440043976,False,sup_only:dense_plus_sparse,0.738680240884297,0.8013314580553654,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,chemeleon_e2e,,False,sup_only:dense_plus_sparse,,,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,no_pretrain,0.6935058320348914,False,sup_only:dense_plus_sparse,0.6630452676230763,0.7368996553685866,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,no_pretrain_e2e,0.7331296375738731,False,sup_only:dense_plus_sparse,0.697155150131599,0.75924210038058,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,unsup_only,0.7253285484699434,False,sup_only:dense_plus_sparse,0.7041875082473655,0.7722676706510762,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,sup_only:dense,0.7231343426368458,False,sup_only:dense_plus_sparse,0.6927365606210515,0.76120640266111,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,unsup2sup:dense,0.723250243803507,False,sup_only:dense_plus_sparse,0.6866230207538357,0.757221580506243,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,sup_only:sparse_all,0.7210523200833593,False,sup_only:dense_plus_sparse,0.6832350147888516,0.7527145361419967,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,unsup2sup:sparse_all,0.7165818141078132,False,sup_only:dense_plus_sparse,0.6823353226961562,0.7503007587864103,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,sup_only:dense_plus_sparse,0.7745026322452406,True,sup_only:dense_plus_sparse,0.7513410644966362,0.8103625752836878,,,,,,,,,,,,True,False,False
holdout,full,Tox21,roc_auc,unsup2sup:dense_plus_sparse,0.6866636974618072,False,sup_only:dense_plus_sparse,0.6582431675935696,0.726749996365506,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,sup_only:minimol_full,0.7253197499121434,False,sup_only:dense_plus_sparse,0.6970395550594574,0.7591478260229326,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,unsup2sup:minimol_full,0.7103073188450421,False,sup_only:dense_plus_sparse,0.7003105124612229,0.7661760259324029,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,sup_only:mixed,0.7647173588665513,False,sup_only:dense_plus_sparse,0.7282287339985168,0.7879511845280506,,,,,,,,,,,,False,False,False
holdout,full,Tox21,roc_auc,unsup2sup:mixed,0.732764459187679,False,sup_only:dense_plus_sparse,0.6985609717021574,0.767261255741792,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,ecfp4,0.6904761904761904,True,ecfp4,0.5238095238095238,0.8095238095238095,,,,,,,,,,,,True,False,False
holdout,full,HIV,nef1,fp_desc,0.6190476190476191,False,ecfp4,0.4523809523809524,0.7857142857142857,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,chemeleon_e2e,,False,ecfp4,,,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,no_pretrain,0.48412698412698413,False,ecfp4,0.28511904761904766,0.5952380952380952,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,no_pretrain_e2e,0.5899470899470901,False,ecfp4,0.40476190476190477,0.8095238095238095,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup_only,0.5687830687830688,False,ecfp4,0.35714285714285715,0.6666666666666666,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,sup_only:dense,0.626984126984127,False,ecfp4,0.4523809523809524,0.8095238095238095,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup2sup:dense,0.5952380952380952,False,ecfp4,0.40476190476190477,0.7624999999999994,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,sup_only:sparse_all,0.3888888888888889,False,ecfp4,0.3333333333333333,0.6434523809523804,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup2sup:sparse_all,0.3941798941798942,False,ecfp4,0.2857142857142857,0.6190476190476191,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,sup_only:dense_plus_sparse,0.5555555555555556,False,ecfp4,0.40476190476190477,0.7380952380952381,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup2sup:dense_plus_sparse,0.12698412698412698,False,ecfp4,0.047619047619047616,0.2619047619047619,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,sup_only:minimol_full,0.5370370370370371,False,ecfp4,0.3333333333333333,0.6904761904761905,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup2sup:minimol_full,0.6190476190476191,False,ecfp4,0.42857142857142855,0.7619047619047619,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,sup_only:mixed,0.5820105820105821,False,ecfp4,0.42857142857142855,0.7857142857142857,,,,,,,,,,,,False,False,False
holdout,full,HIV,nef1,unsup2sup:mixed,0.4232804232804233,False,ecfp4,0.30952380952380953,0.6428571428571429,,,,,,,,,,,,False,False,False
cv,climb,ESOL,rmse,no_pretrain,1.3758066018422446,False,sup_only:mixed,,,-0.43439971269628264,-0.5604623893238152,-0.33699311585393227,0.0,,,,,0.0,,,False,False,False
cv,climb,ESOL,rmse,no_pretrain_e2e,1.3715126940884115,False,sup_only:mixed,,,-0.43504126625982953,-0.5801200796549265,-0.3225145817583584,0.0,,,,,0.0,,,False,False,False
