task,model,subset,mean,std,n_seeds,source
CHEMBL2047_EC50,RF,cliff,0.635525,0.001887478423717739,5,reference
CHEMBL2047_EC50,RF_Mordred,overall,0.6590686,0.008198595894419966,5,reference
CHEMBL2047_EC50,RF_Mordred,noncliff,0.6603252,0.009060741987276764,5,reference
CHEMBL2047_EC50,RF_Mordred,cliff,0.6570388,0.011353398018214637,5,reference
CHEMBL2047_EC50,RF_Morgan,overall,0.622199,0.006555347160906132,5,reference
CHEMBL2047_EC50,RF_Morgan,noncliff,0.5819874,0.009278720808387321,5,reference
CHEMBL2047_EC50,RF_Morgan,cliff,0.6801258,0.008674432117435692,5,reference
CHEMBL2047_EC50,fastprop,overall,0.7054072,0.00784239278281826,5,reference
CHEMBL2047_EC50,fastprop,noncliff,0.7033748,0.021359590879977068,5,reference
CHEMBL2047_EC50,fastprop,cliff,0.7079148,0.019197279363493133,5,reference
CHEMBL2047_EC50,minimol,overall,0.5859794,0.008515447624171018,5,reference
CHEMBL2047_EC50,minimol,noncliff,0.577687,0.015022727675092839,5,reference
CHEMBL2047_EC50,minimol,cliff,0.5979092,0.027623975487970572,5,reference
CHEMBL204_Ki,CheMeleon,overall,0.7043426,0.014700107273077965,5,reference
CHEMBL204_Ki,CheMeleon,noncliff,0.5951328,0.01672295875017335,5,reference
CHEMBL204_Ki,CheMeleon,cliff,0.8429138,0.02286793074504119,5,reference
CHEMBL204_Ki,Chemprop,overall,0.944375,0.011740420776105109,5,reference
CHEMBL204_Ki,Chemprop,noncliff,0.8562964,0.0190979509434913,5,reference
CHEMBL204_Ki,Chemprop,cliff,1.063798,0.006347819783201121,5,reference
CHEMBL204_Ki,Chemprop_Mordred,overall,0.8318679999999999,0.008488456161163796,5,reference
CHEMBL204_Ki,Chemprop_Mordred,noncliff,0.7576562,0.015553260885100595,5,reference
CHEMBL204_Ki,Chemprop_Mordred,cliff,0.9327112,0.020487501325442324,5,reference
CHEMBL204_Ki,MLP_PLR_Pretrained,overall,0.8156998,0.020497702421491043,5,reference
CHEMBL204_Ki,MLP_PLR_Pretrained,noncliff,0.712126,0.02256190777394498,5,reference
CHEMBL204_Ki,MLP_PLR_Pretrained,cliff,0.9511362,0.022678346795125984,5,reference
CHEMBL204_Ki,MoLFormer,overall,0.8222832,0.013676021810453506,5,reference
CHEMBL204_Ki,MoLFormer,noncliff,0.7174814,0.013171928038066426,5,reference
CHEMBL204_Ki,MoLFormer,cliff,0.9593387999999999,0.01681256329534552,5,reference
CHEMBL204_Ki,MolCLR,overall,1.2053206,0.019584654999259005,5,reference
CHEMBL204_Ki,MolCLR,noncliff,1.1128276,0.029337842092423863,5,reference
CHEMBL204_Ki,MolCLR,cliff,1.3330096,0.00932864304387301,5,reference
CHEMBL204_Ki,PCA_MLP,overall,0.8520252,0.006800091364092073,5,reference
CHEMBL204_Ki,PCA_MLP,noncliff,0.7687634,0.010876512650661516,5,reference
CHEMBL204_Ki,PCA_MLP,cliff,0.9644134,0.007477875061807311,5,reference
CHEMBL204_Ki,PCA_MLP_Prefitted,overall,0.8523524,0.00691726496817926,5,reference
CHEMBL204_Ki,PCA_MLP_Prefitted,noncliff,0.7673247999999999,0.008361866667198172,5,reference
CHEMBL204_Ki,PCA_MLP_Prefitted,cliff,0.9668572,0.01260414957702423,5,reference
CHEMBL204_Ki,RF,overall,0.783479,0.0027264663577605095,5,reference
CHEMBL204_Ki,RF,noncliff,0.6764726,0.004682561803115895,5,reference
CHEMBL204_Ki,RF,cliff,0.922106,0.00333440183541217,5,reference
CHEMBL204_Ki,RF_Mordred,overall,0.8348098,0.005796388096047402,5,reference
CHEMBL204_Ki,RF_Mordred,noncliff,0.7335134,0.005941650632610457,5,reference
CHEMBL204_Ki,RF_Mordred,cliff,0.9681495999999999,0.009416325814244097,5,reference
CHEMBL204_Ki,RF_Morgan,overall,0.7538608,0.004942564654104203,5,reference
CHEMBL204_Ki,RF_Morgan,noncliff,0.6458868,0.005662314558552884,5,reference
CHEMBL204_Ki,RF_Morgan,cliff,0.8927684,0.0070032711671046965,5,reference
CHEMBL204_Ki,fastprop,overall,0.8159984,0.00975427733048432,5,reference
CHEMBL204_Ki,fastprop,noncliff,0.7291952,0.01022935842367447,5,reference
CHEMBL204_Ki,fastprop,cliff,0.932034,0.01636819353502396,5,reference
CHEMBL204_Ki,minimol,overall,0.7994014,0.01614981143667009,5,reference
CHEMBL204_Ki,minimol,noncliff,0.7019302,0.01886390087336128,5,reference
CHEMBL204_Ki,minimol,cliff,0.9275334,0.018517413000740706,5,reference
CHEMBL2147_Ki,CheMeleon,overall,0.5694359999999999,0.006624755633229024,5,reference
CHEMBL2147_Ki,CheMeleon,noncliff,0.5519296,0.01640168992024907,5,reference
CHEMBL2147_Ki,CheMeleon,cliff,0.5946338,0.022124895040654992,5,reference
CHEMBL2147_Ki,Chemprop,overall,0.8687066,0.015865581295370194,5,reference
CHEMBL2147_Ki,Chemprop,noncliff,0.857948,0.018087473411176034,5,reference
CHEMBL2147_Ki,Chemprop,cliff,0.884862,0.017643199052326093,5,reference
CHEMBL2147_Ki,Chemprop_Mordred,overall,0.6894074,0.017083340066860457,5,reference
CHEMBL2147_Ki,Chemprop_Mordred,noncliff,0.6822916,0.017021520056681196,5,reference
CHEMBL2147_Ki,Chemprop_Mordred,cliff,0.6998438,0.02783881489862671,5,reference
CHEMBL2147_Ki,MLP_PLR_Pretrained,overall,0.6708088,0.01804546385549566,5,reference
CHEMBL2147_Ki,MLP_PLR_Pretrained,noncliff,0.6476584,0.015193180070018282,5,reference
CHEMBL2147_Ki,MLP_PLR_Pretrained,cliff,0.7047012,0.026250435702288823,5,reference
CHEMBL2147_Ki,MoLFormer,overall,0.6682986,0.007137855773269724,5,reference
CHEMBL2147_Ki,MoLFormer,noncliff,0.5972984,0.008436960367336087,5,reference
CHEMBL2147_Ki,MoLFormer,cliff,0.7642612,0.020783870596209928,5,reference
CHEMBL2147_Ki,MolCLR,overall,1.0743968,0.020403573200790136,5,reference
CHEMBL2147_Ki,MolCLR,noncliff,1.0819592,0.034756493289168314,5,reference
CHEMBL2147_Ki,MolCLR,cliff,1.0621562,0.01820802922229643,5,reference
CHEMBL2147_Ki,PCA_MLP,overall,0.7336971999999999,0.00967841415522194,5,reference
CHEMBL2147_Ki,PCA_MLP,noncliff,0.7439588,0.01098138791592394,5,reference
CHEMBL2147_Ki,PCA_MLP,cliff,0.717646,0.008961361749198617,5,reference
CHEMBL2147_Ki,PCA_MLP_Prefitted,overall,0.7229928,0.009152535351475017,5,reference
CHEMBL2147_Ki,PCA_MLP_Prefitted,noncliff,0.7364385999999999,0.017717136987673812,5,reference
