task,model,metric,mean,std,n_seeds,source,leak_flag
tdcommons/half-life-obach,skip_minimol_full_8M,spearmanr,0.09115063262417056,0.04379418106940597,3,ours,False
tdcommons/herg,skip_minimol_full_8M,roc_auc,0.7910162002945509,0.01190655842792797,3,ours,False
tdcommons/ld50-zhu,skip_minimol_full_8M,mean_absolute_error,0.7067193294096272,0.00635124011363032,3,ours,True
tdcommons/lipophilicity-astrazeneca,skip_minimol_full_8M,mean_absolute_error,0.794455471099063,0.004523753977716918,3,ours,False
tdcommons/pgp-broccatelli,skip_minimol_full_8M,roc_auc,0.9003154714298409,0.0013597390694125074,3,ours,True
tdcommons/ppbr-az,skip_minimol_full_8M,mean_absolute_error,10.881980984293621,0.05068961436663054,3,ours,False
tdcommons/vdss-lombardo,skip_minimol_full_8M,spearmanr,0.12409133620163244,0.019086590115742798,3,ours,True
polaris/adme-fang-hclint-1,skip_mixed_8M,pearsonr,0.6177368153695534,0.007237072316132704,3,ours,False
polaris/adme-fang-hppb-1,skip_mixed_8M,pearsonr,0.7904635538288646,0.008440924091432078,3,ours,False
polaris/adme-fang-perm-1,skip_mixed_8M,pearsonr,0.6909518350014137,0.005648214607719615,3,ours,False
polaris/adme-fang-rclint-1,skip_mixed_8M,pearsonr,0.6259394445535094,0.00889956569198832,3,ours,False
polaris/adme-fang-rppb-1,skip_mixed_8M,pearsonr,0.7732088450561729,0.00732270362416947,3,ours,False
polaris/adme-fang-solu-1,skip_mixed_8M,pearsonr,0.49406764477498466,0.018680806919823257,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,skip_mixed_8M,mean_squared_error,645.9332645683987,11.101483068554264,3,ours,False
polaris/pkis2-kit-wt-cls-v2,skip_mixed_8M,pr_auc,0.5406895982279737,0.03307863894932945,3,ours,False
polaris/pkis2-kit-wt-reg-v2,skip_mixed_8M,mean_squared_error,934.2800539692373,18.17861095687598,3,ours,False
polaris/pkis2-ret-wt-cls-v2,skip_mixed_8M,pr_auc,0.5708850179946695,0.028405453375202845,3,ours,False
polaris/pkis2-ret-wt-reg-v2,skip_mixed_8M,mean_squared_error,837.0240432101098,5.216048387678359,3,ours,False
tdcommons/ames,skip_mixed_8M,roc_auc,0.8138936210486465,0.007154203870957155,3,ours,True
